Date,USD_INR,USD_NPR
2010-01-01,46.61000061035156,74.5760009765625
2010-01-04,46.28799819946289,74.06079711914063
2010-01-05,46.119998931884766,73.79199829101563
2010-01-06,45.720001220703125,73.15200195312501
2010-01-07,45.6879997253418,73.10079956054688
2010-01-08,45.518001556396484,72.82880249023438
2010-01-11,45.358001708984375,72.572802734375
2010-01-12,45.61800003051758,72.98880004882812
2010-01-13,45.487998962402344,72.78079833984376
2010-01-14,45.5629997253418,72.90079956054687
2010-01-15,45.803001403808594,73.28480224609375
2010-01-18,45.63800048828125,73.02080078125
2010-01-19,45.847999572753906,73.35679931640625
2010-01-20,46.11800003051758,73.78880004882812
2010-01-21,46.108001708984375,73.772802734375
2010-01-22,46.222999572753906,73.95679931640625
2010-01-25,46.077999114990234,73.72479858398438
2010-01-26,45.847999572753906,73.35679931640625
2010-01-27,46.31800079345703,74.10880126953126
2010-01-28,46.347999572753906,74.15679931640625
2010-01-29,46.097999572753906,73.75679931640626
2010-02-01,46.28799819946289,74.06079711914063
2010-02-02,46.099998474121094,73.75999755859375
2010-02-03,45.900001525878906,73.44000244140625
2010-02-04,46.209999084472656,73.93599853515626
2010-02-05,46.619998931884766,74.59199829101563
2010-02-08,46.709999084472656,74.73599853515626
2010-02-09,46.38999938964844,74.2239990234375
2010-02-10,46.37799835205078,74.20479736328126
2010-02-11,46.400001525878906,74.24000244140625
2010-02-12,46.400001525878906,74.24000244140625
2010-02-15,46.3380012512207,74.14080200195313
2010-02-16,45.97999954223633,73.56799926757813
2010-02-17,46.007999420166016,73.61279907226563
2010-02-18,46.13999938964844,73.82399902343751
2010-02-19,46.18000030517578,73.88800048828125
2010-02-22,46.099998474121094,73.75999755859375
2010-02-23,46.268001556396484,74.02880249023438
2010-02-24,46.28799819946289,74.06079711914063
2010-02-25,46.29999923706055,74.07999877929687
2010-02-26,45.900001525878906,73.44000244140625
2010-03-01,46.0,73.60000000000001
2010-03-02,46.02799987792969,73.64479980468751
2010-03-03,45.54999923706055,72.87999877929688
2010-03-04,45.66999816894531,73.0719970703125
2010-03-05,45.45000076293945,72.72000122070312
2010-03-08,45.400001525878906,72.64000244140625
2010-03-09,45.54999923706055,72.87999877929688
2010-03-10,45.310001373291016,72.49600219726562
2010-03-11,45.45000076293945,72.72000122070312
2010-03-12,45.49800109863281,72.7968017578125
2010-03-15,45.55799865722656,72.8927978515625
2010-03-16,45.38999938964844,72.6239990234375
2010-03-17,45.279998779296875,72.447998046875
2010-03-18,45.38999938964844,72.6239990234375
2010-03-19,45.25,72.4
2010-03-22,45.470001220703125,72.752001953125
2010-03-23,45.400001525878906,72.64000244140625
2010-03-24,45.400001525878906,72.64000244140625
2010-03-25,45.487998962402344,72.78079833984376
2010-03-26,45.11000061035156,72.1760009765625
2010-03-29,44.79999923706055,71.67999877929688
2010-03-30,44.939998626708984,71.90399780273438
2010-03-31,44.79999923706055,71.67999877929688
2010-04-01,44.599998474121094,71.35999755859375
2010-04-02,44.80799865722656,71.6927978515625
2010-04-05,44.36000061035156,70.9760009765625
2010-04-06,44.34000015258789,70.94400024414062
2010-04-07,44.400001525878906,71.04000244140626
2010-04-08,44.34000015258789,70.94400024414062
2010-04-09,44.119998931884766,70.59199829101563
2010-04-12,44.34000015258789,70.94400024414062
2010-04-13,44.577999114990234,71.32479858398438
2010-04-14,44.209999084472656,70.73599853515626
2010-04-15,44.290000915527344,70.86400146484375
2010-04-16,44.31800079345703,70.90880126953125
2010-04-19,44.72800064086914,71.56480102539062
2010-04-20,44.38999938964844,71.0239990234375
2010-04-21,44.400001525878906,71.04000244140626
2010-04-22,44.439998626708984,71.10399780273438
2010-04-23,44.290000915527344,70.86400146484375
2010-04-26,44.25,70.8
2010-04-27,44.45000076293945,71.12000122070313
2010-04-28,44.5,71.2
2010-04-29,44.45000076293945,71.12000122070313
2010-04-30,44.25,70.8
2010-05-03,44.400001525878906,71.04000244140626
2010-05-04,44.54999923706055,71.27999877929688
2010-05-05,44.849998474121094,71.75999755859375
