Date,Nifty_Open,Nifty_High,Nifty_Low,Nifty_Close,Nifty_Volume,India_VIX,CBOE_VIX,USD_NPR,Policy_Rate
2010-01-04,5200.89990234375,5238.4501953125,5167.10009765625,5232.2001953125,0.0,23.639999389648438,20.040000915527344,74.06079711914063,6.504109589041096
2010-01-05,5277.14990234375,5288.35009765625,5242.39990234375,5277.89990234375,0.0,22.270000457763672,19.350000381469727,73.79199829101563,6.505479452054795
2010-01-06,5278.14990234375,5310.85009765625,5260.0498046875,5281.7998046875,0.0,22.1200008392334,19.15999984741211,73.15200195312501,6.506849315068493
2010-01-07,5281.7998046875,5302.5498046875,5244.75,5263.10009765625,0.0,22.5,19.059999465942383,73.10079956054688,6.508219178082192
2010-01-08,5264.25,5276.75,5234.7001953125,5244.75,0.0,22.56999969482422,18.1299991607666,72.82880249023438,6.50958904109589
2010-01-11,5263.7998046875,5287.2001953125,5227.7998046875,5249.39990234375,0.0,22.68000030517578,17.549999237060547,72.572802734375,6.513698630136986
2010-01-12,5251.10009765625,5300.5,5200.9501953125,5210.39990234375,0.0,23.079999923706055,18.25,72.98880004882812,6.515068493150685
2010-01-13,5212.60009765625,5239.2001953125,5169.5498046875,5233.9501953125,0.0,21.989999771118164,17.850000381469727,72.78079833984376,6.516438356164383
2010-01-14,5234.5,5272.85009765625,5232.5,5259.89990234375,0.0,20.979999542236328,17.6299991607666,72.90079956054687,6.517808219178082
2010-01-15,5259.89990234375,5279.85009765625,5242.4501953125,5252.2001953125,0.0,21.079999923706055,17.90999984741211,73.28480224609375,6.519178082191781
2010-01-18,5253.64990234375,5292.5,5228.9501953125,5274.85009765625,0.0,21.549999237060547,,73.02080078125,6.523287671232877
2010-01-19,5274.2001953125,5287.7998046875,5218.64990234375,5225.64990234375,0.0,22.34000015258789,17.579999923706055,73.35679931640625,6.524657534246575
2010-01-20,5226.10009765625,5256.7001953125,5201.39990234375,5221.7001953125,0.0,22.290000915527344,18.68000030517578,73.78880004882812,6.526027397260274
2010-01-21,5220.2001953125,5220.35009765625,5085.4501953125,5094.14990234375,0.0,23.5,22.270000457763672,73.772802734375,6.527397260273973
2010-01-22,5094.14990234375,5094.14990234375,4954.85009765625,5036.0,0.0,24.850000381469727,27.309999465942383,73.95679931640625,6.528767123287671
2010-01-25,5034.5498046875,5035.7001953125,4983.0498046875,5007.89990234375,0.0,25.81999969482422,25.40999984741211,73.72479858398438,6.532876712328767
2010-01-26,,,,,,,24.549999237060547,73.35679931640625,6.534246575342466
2010-01-27,5008.5,5008.5,4833.0498046875,4853.10009765625,0.0,28.920000076293945,23.139999389648438,74.10880126953126,6.535616438356165
2010-01-28,4863.0,4929.89990234375,4824.9501953125,4867.25,0.0,26.959999084472656,23.729999542236328,74.15679931640625,6.536986301369863
2010-01-29,4866.14990234375,4893.7001953125,4766.0,4882.0498046875,0.0,26.1299991607666,24.6200008392334,73.75679931640626,6.538356164383561
2010-02-01,4882.0498046875,4918.7998046875,4827.14990234375,4899.7001953125,0.0,25.610000610351562,22.59000015258789,74.06079711914063,6.542465753424658
2010-02-02,4907.85009765625,4951.14990234375,4814.10009765625,4830.10009765625,0.0,26.690000534057617,21.479999542236328,73.75999755859375,6.543835616438356
2010-02-03,4831.0,4949.14990234375,4831.0,4931.85009765625,0.0,25.540000915527344,21.600000381469727,73.44000244140625,6.545205479452055
2010-02-04,4931.2998046875,4931.2998046875,4832.35009765625,4845.35009765625,0.0,27.06999969482422,26.079999923706055,73.93599853515626,6.546575342465753
2010-02-05,4819.64990234375,4827.0,4692.35009765625,4718.64990234375,0.0,30.06999969482422,26.110000610351562,74.59199829101563,6.5479452054794525
2010-02-08,4755.35009765625,4799.0498046875,4675.39990234375,4760.39990234375,0.0,30.360000610351562,26.510000228881836,74.73599853515626,6.552054794520548
2010-02-09,4760.5498046875,4810.39990234375,4739.35009765625,4792.64990234375,0.0,29.90999984741211,26.0,74.2239990234375,6.553424657534246
2010-02-10,4793.0,4826.85009765625,4748.10009765625,4757.2001953125,0.0,30.549999237060547,25.399999618530273,74.20479736328126,6.554794520547945
2010-02-11,4757.25,4843.7998046875,4757.25,4826.85009765625,0.0,28.809999465942383,23.959999084472656,74.24000244140625,6.556164383561644
2010-02-12,,,,,,,22.729999542236328,74.24000244140625,6.557534246575343
2010-02-15,4827.89990234375,4845.60009765625,4783.89990234375,4801.9501953125,0.0,29.68000030517578,,74.14080200195313,6.561643835616438
2010-02-16,4801.7998046875,4880.0,4791.35009765625,4855.75,0.0,28.729999542236328,22.25,73.56799926757813,6.563013698630137
2010-02-17,4858.64990234375,4929.7001953125,4857.60009765625,4914.0,0.0,29.040000915527344,21.719999313354492,73.61279907226563,6.564383561643836
2010-02-18,4915.10009765625,4922.0498046875,4873.7001953125,4887.75,0.0,29.760000228881836,20.6299991607666,73.82399902343751,6.565753424657534
2010-02-19,4887.2998046875,4887.2998046875,4805.5498046875,4844.89990234375,0.0,31.899999618530273,20.020000457763672,73.88800048828125,6.567123287671233
2010-02-22,4849.35009765625,4912.0498046875,4845.89990234375,4856.39990234375,0.0,32.130001068115234,19.940000534057617,73.75999755859375,6.571232876712329
2010-02-23,4856.60009765625,4884.10009765625,4833.14990234375,4870.0498046875,0.0,30.989999771118164,21.3700008392334,74.02880249023438,6.572602739726028
2010-02-24,4869.5498046875,4880.5498046875,4834.64990234375,4858.60009765625,0.0,30.399999618530273,20.270000457763672,74.06079711914063,6.573972602739726
2010-02-25,4859.0,4880.14990234375,4835.60009765625,4859.75,0.0,29.549999237060547,20.100000381469727,74.07999877929687,6.575342465753424
2010-02-26,4858.5,4992.0,4858.4501953125,4922.2998046875,0.0,24.020000457763672,19.5,73.44000244140625,6.576712328767123
2010-03-01,,,,,,,19.260000228881836,73.60000000000001,6.580821917808219
2010-03-02,4935.60009765625,5029.4501953125,4935.35009765625,5017.0,0.0,21.6299991607666,19.059999465942383,73.64479980468751,6.582191780821918
2010-03-03,5015.7998046875,5093.25,5015.10009765625,5088.10009765625,0.0,20.75,18.829999923706055,72.87999877929688,6.583561643835616
2010-03-04,5096.9501953125,5096.9501953125,5049.0,5080.25,0.0,20.979999542236328,18.719999313354492,73.0719970703125,6.5849315068493155
2010-03-05,5080.5498046875,5118.64990234375,5068.0498046875,5088.7001953125,0.0,20.739999771118164,17.420000076293945,72.72000122070312,6.586301369863014
2010-03-08,5092.14990234375,5147.10009765625,5092.14990234375,5124.0,0.0,20.729999542236328,17.790000915527344,72.64000244140625,6.590410958904109
2010-03-09,5121.0498046875,5131.7998046875,5094.35009765625,5101.5,0.0,20.799999237060547,17.920000076293945,72.87999877929688,6.5917808219178085
2010-03-10,5101.60009765625,5137.39990234375,5092.0498046875,5116.25,0.0,20.09000015258789,18.56999969482422,72.49600219726562,6.593150684931507
2010-03-11,5116.35009765625,5152.60009765625,5102.10009765625,5133.39990234375,0.0,20.139999389648438,18.059999465942383,72.72000122070312,6.594520547945206
2010-03-12,5131.7998046875,5158.10009765625,5122.10009765625,5137.0,0.0,19.729999542236328,17.579999923706055,72.7968017578125,6.595890410958904
2010-03-15,5134.4501953125,5151.0498046875,5101.2001953125,5128.89990234375,0.0,20.260000228881836,18.0,72.8927978515625,6.6
2010-03-16,5128.9501953125,5209.25,5125.7001953125,5198.10009765625,0.0,19.59000015258789,17.690000534057617,72.6239990234375,6.601369863013699
2010-03-17,5198.4501953125,5260.5,5177.14990234375,5231.89990234375,0.0,17.729999542236328,16.90999984741211,72.447998046875,6.602739726027397
2010-03-18,5232.5498046875,5255.64990234375,5214.39990234375,5245.89990234375,0.0,17.969999313354492,16.6200008392334,72.6239990234375,6.604109589041096
2010-03-19,5246.7998046875,5269.9501953125,5237.10009765625,5262.7998046875,0.0,17.75,16.969999313354492,72.4,6.605479452054794
2010-03-22,5260.9501953125,5260.9501953125,5187.0498046875,5205.2001953125,0.0,19.959999084472656,16.8700008392334,72.752001953125,6.60958904109589
2010-03-23,5205.85009765625,5243.60009765625,5193.39990234375,5225.2998046875,0.0,18.1299991607666,16.350000381469727,72.64000244140625,6.610958904109589
2010-03-24,,,,,,,17.549999237060547,72.64000244140625,6.612328767123287
2010-03-25,5225.2998046875,5267.2998046875,5202.9501953125,5260.39990234375,0.0,17.049999237060547,18.399999618530273,72.78079833984376,6.6136986301369864
2010-03-26,5260.5498046875,5293.75,5260.5498046875,5282.0,0.0,17.889999389648438,17.770000457763672,72.1760009765625,6.615068493150685
2010-03-29,5283.89990234375,5329.5498046875,5242.14990234375,5302.85009765625,0.0,18.729999542236328,17.59000015258789,71.67999877929688,6.619178082191781
2010-03-30,5302.9501953125,5325.0,5251.35009765625,5262.4501953125,0.0,19.799999237060547,17.1299991607666,71.90399780273438,6.620547945205479
2010-03-31,5260.39990234375,5293.89990234375,5235.14990234375,5249.10009765625,0.0,19.8700008392334,17.59000015258789,71.67999877929688,6.621917808219178
2010-04-01,5249.2001953125,5298.60009765625,5249.2001953125,5290.5,0.0,17.6200008392334,17.469999313354492,71.35999755859375,6.623287671232877
2010-04-05,5291.39990234375,5377.5498046875,5291.39990234375,5368.39990234375,0.0,17.170000076293945,17.020000457763672,70.9760009765625,6.6287671232876715
2010-04-06,5369.64990234375,5388.64990234375,5351.7001953125,5366.0,0.0,17.200000762939453,16.229999542236328,70.94400024414062,6.63013698630137
2010-04-07,5365.7001953125,5399.64990234375,5345.0498046875,5374.64990234375,0.0,17.31999969482422,16.6200008392334,71.04000244140626,6.631506849315069
2010-04-08,5376.2998046875,5383.64990234375,5290.25,5304.4501953125,0.0,19.920000076293945,16.479999542236328,70.94400024414062,6.632876712328767
2010-04-09,5302.39990234375,5377.4501953125,5302.25,5361.75,0.0,18.440000534057617,16.139999389648438,70.59199829101563,6.634246575342465
2010-04-12,5354.14990234375,5382.14990234375,5324.89990234375,5339.7001953125,0.0,20.049999237060547,15.579999923706055,70.94400024414062,6.638356164383562
2010-04-13,5340.85009765625,5356.5,5301.7001953125,5322.9501953125,0.0,20.139999389648438,16.200000762939453,71.32479858398438,6.63972602739726
2010-04-14,,,,,,,15.59000015258789,70.73599853515626,6.641095890410959
2010-04-15,5323.2998046875,5373.14990234375,5265.2998046875,5273.60009765625,0.0,21.579999923706055,15.890000343322754,70.86400146484375,6.642465753424657
