,MAE,MSE,MAPE,WMAPE,Spearman,Spearman_raw_rank
stvv_historical,0.03278359447657368,0.0027294887318684664,294.2341704188482,72.60704039204772,0.5175607228830971,0.5175607228830971
emvv_adapted,0.03865563390266022,0.003995017826131966,395.11911775871226,85.61206350195174,0.5216333757744132,0.5216333757744132
mivv_adapted_garch,0.03967023317315385,0.0040154355868258,379.38554266670883,87.85913406851556,0.4139002086315887,0.4139002086315887
mivv_adapted_egarch,0.0395469898157304,0.003986112075089287,383.60321401783915,87.58618244214979,0.4077408072287927,0.4077408072287927
