Date,Open,High,Low,Close,Change,Percent_Change,Turnover
2010-08-26,432.74,432.74,432.74,432.74,0.00,0.00,0.00
2010-08-29,429.01,429.01,429.01,429.01,0.00,0.00,0.00
2010-08-30,426.74,426.74,426.74,426.74,0.00,0.00,0.00
2010-08-31,421.16,421.16,421.16,421.16,0.00,0.00,0.00
2010-09-02,420.41,420.41,420.41,420.41,0.00,0.00,0.00
2010-09-05,408.64,408.64,408.64,408.64,0.00,0.00,0.00
2010-09-06,412.32,412.32,412.32,412.32,0.00,0.00,0.00
2010-09-07,416.26,416.26,416.26,416.26,0.00,0.00,0.00
2010-09-08,420.25,420.25,420.25,420.25,0.00,0.00,0.00
2010-09-09,414.36,414.36,414.36,414.36,0.00,0.00,0.00
2010-09-12,413.32,413.32,413.32,413.32,0.00,0.00,0.00
2010-09-13,410.65,410.65,410.65,410.65,0.00,0.00,0.00
2010-09-14,410.29,410.29,410.29,410.29,0.00,0.00,0.00
2010-09-15,407.20,407.20,407.20,407.20,0.00,0.00,0.00
2010-09-16,404.08,404.08,404.08,404.08,0.00,0.00,0.00
2010-09-19,402.25,402.25,402.25,402.25,0.00,0.00,0.00
2010-09-20,400.38,400.38,400.38,400.38,0.00,0.00,0.00
2010-09-21,403.95,403.95,403.95,403.95,0.00,0.00,0.00
2010-09-23,404.41,404.41,404.41,404.41,0.00,0.00,0.00
2010-09-26,405.73,405.73,405.73,405.73,0.00,0.00,0.00
2010-09-27,405.45,405.45,405.45,405.45,0.00,0.00,0.00
2010-09-28,403.54,403.54,403.54,403.54,0.00,0.00,0.00
2010-09-29,402.77,402.77,402.77,402.77,0.00,0.00,0.00
2010-09-30,402.54,402.54,402.54,402.54,0.00,0.00,0.00
2010-10-03,402.15,402.15,402.15,402.15,0.00,0.00,0.00
2010-10-04,403.70,403.70,403.70,403.70,0.00,0.00,0.00
2010-10-05,404.49,404.49,404.49,404.49,0.00,0.00,0.00
2010-10-06,406.49,406.49,406.49,406.49,0.00,0.00,0.00
2010-10-07,411.82,411.82,411.82,411.82,0.00,0.00,0.00
2010-10-10,416.86,416.86,416.86,416.86,0.00,0.00,0.00
2010-10-11,418.16,418.16,418.16,418.16,0.00,0.00,0.00
2010-10-12,420.44,420.44,420.44,420.44,0.00,0.00,0.00
2010-10-13,420.30,420.30,420.30,420.30,0.00,0.00,0.00
2010-10-20,421.49,421.49,421.49,421.49,0.00,0.00,0.00
2010-10-21,420.54,420.54,420.54,420.54,0.00,0.00,0.00
2010-10-24,425.57,425.57,425.57,425.57,0.00,0.00,0.00
2010-10-25,426.48,426.48,426.48,426.48,0.00,0.00,0.00
2010-10-26,425.04,425.04,425.04,425.04,0.00,0.00,0.00
2010-10-27,422.47,422.47,422.47,422.47,0.00,0.00,0.00
2010-10-28,424.86,424.86,424.86,424.86,0.00,0.00,0.00
2010-10-31,423.87,423.87,423.87,423.87,0.00,0.00,0.00
2010-11-01,424.90,424.90,424.90,424.90,0.00,0.00,0.00
2010-11-02,421.55,421.55,421.55,421.55,0.00,0.00,0.00
2010-11-03,423.19,423.19,423.19,423.19,0.00,0.00,0.00
2010-11-04,424.96,424.96,424.96,424.96,0.00,0.00,0.00
2010-11-09,423.85,423.85,423.85,423.85,0.00,0.00,0.00
2010-11-10,423.69,423.69,423.69,423.69,0.00,0.00,0.00
2010-11-11,424.90,424.90,424.90,424.90,0.00,0.00,0.00
2010-11-14,425.01,425.01,425.01,425.01,0.00,0.00,0.00
2010-11-15,423.64,423.64,423.64,423.64,0.00,0.00,0.00
2010-11-16,424.17,424.17,424.17,424.17,0.00,0.00,0.00
2010-11-18,425.64,425.64,425.64,425.64,0.00,0.00,0.00
2010-11-21,423.35,423.35,423.35,423.35,0.00,0.00,0.00
2010-11-22,419.81,419.81,419.81,419.81,0.00,0.00,0.00
2010-11-23,419.30,419.30,419.30,419.30,0.00,0.00,0.00
2010-11-24,419.07,419.07,419.07,419.07,0.00,0.00,0.00
2010-11-25,418.35,418.35,418.35,418.35,0.00,0.00,0.00
2010-11-28,417.74,417.74,417.74,417.74,0.00,0.00,0.00
2010-11-29,415.53,415.53,415.53,415.53,0.00,0.00,0.00
2010-11-30,413.65,413.65,413.65,413.65,0.00,0.00,0.00
2010-12-01,412.06,412.06,412.06,412.06,0.00,0.00,0.00
2010-12-02,408.89,408.89,408.89,408.89,0.00,0.00,0.00
2010-12-05,407.86,407.86,407.86,407.86,0.00,0.00,0.00
2010-12-06,403.56,403.56,403.56,403.56,0.00,0.00,0.00
2010-12-07,401.77,401.77,401.77,401.77,0.00,0.00,0.00
2010-12-08,400.78,400.78,400.78,400.78,0.00,0.00,0.00
2010-12-09,398.88,398.88,398.88,398.88,0.00,0.00,0.00
2010-12-12,395.61,395.61,395.61,395.61,0.00,0.00,0.00
2010-12-13,396.30,396.30,396.30,396.30,0.00,0.00,0.00
2010-12-14,392.78,392.78,392.78,392.78,0.00,0.00,0.00
2010-12-15,394.17,394.17,394.17,394.17,0.00,0.00,0.00
2010-12-16,392.04,392.04,392.04,392.04,0.00,0.00,0.00
2010-12-19,390.98,390.98,390.98,390.98,0.00,0.00,0.00
2010-12-20,391.35,391.35,391.35,391.35,0.00,0.00,0.00
2010-12-22,394.84,394.84,394.84,394.84,0.00,0.00,0.00
2010-12-23,399.55,399.55,399.55,399.55,0.00,0.00,0.00
2010-12-26,406.86,406.86,406.86,406.86,0.00,0.00,0.00
2010-12-27,407.72,407.72,407.72,407.72,0.00,0.00,0.00
2010-12-28,404.18,404.18,404.18,404.18,0.00,0.00,0.00
2010-12-29,404.06,404.06,404.06,404.06,0.00,0.00,0.00
2011-01-02,400.62,400.62,400.62,400.62,0.00,0.00,0.00
2011-01-03,398.01,398.01,398.01,398.01,0.00,0.00,0.00
2011-01-04,399.59,399.59,399.59,399.59,0.00,0.00,0.00
2011-01-05,400.76,400.76,400.76,400.76,0.00,0.00,0.00
2011-01-06,400.43,400.43,400.43,400.43,0.00,0.00,0.00
2011-01-09,398.26,398.26,398.26,398.26,0.00,0.00,0.00
2011-01-10,399.47,399.47,399.47,399.47,0.00,0.00,0.00
2011-01-11,400.67,400.67,400.67,400.67,0.00,0.00,0.00
2011-01-12,400.20,400.20,400.20,400.20,0.00,0.00,0.00
2011-01-13,402.75,402.75,402.75,402.75,0.00,0.00,0.00
2011-01-16,403.12,403.12,403.12,403.12,0.00,0.00,0.00
2011-01-17,403.71,403.71,403.71,403.71,0.00,0.00,0.00
2011-01-18,403.46,403.46,403.46,403.46,0.00,0.00,0.00
2011-01-19,404.33,404.33,404.33,404.33,0.00,0.00,0.00
2011-01-20,406.90,406.90,406.90,406.90,0.00,0.00,0.00
2011-01-23,406.34,406.34,406.34,406.34,0.00,0.00,0.00
2011-01-24,410.34,410.34,410.34,410.34,0.00,0.00,0.00
2011-01-31,410.57,410.57,410.57,410.57,0.00,0.00,0.00
2011-02-01,410.48,410.48,410.48,410.48,0.00,0.00,0.00
2011-02-02,407.97,407.97,407.97,407.97,0.00,0.00,0.00
2011-02-03,406.84,406.84,406.84,406.84,0.00,0.00,0.00
2011-02-06,413.76,413.76,413.76,413.76,0.00,0.00,0.00
2011-02-07,408.47,408.47,408.47,408.47,0.00,0.00,0.00
2011-02-08,406.96,406.96,406.96,406.96,0.00,0.00,0.00
2011-02-09,405.44,405.44,405.44,405.44,0.00,0.00,0.00
2011-02-10,405.05,405.05,405.05,405.05,0.00,0.00,0.00
2011-02-13,404.14,404.14,404.14,404.14,0.00,0.00,0.00
2011-02-14,403.71,403.71,403.71,403.71,0.00,0.00,0.00
2011-02-15,404.47,404.47,404.47,404.47,0.00,0.00,0.00
2011-02-16,405.44,405.44,405.44,405.44,0.00,0.00,0.00
2011-02-17,408.19,408.19,408.19,408.19,0.00,0.00,0.00
2011-02-20,405.15,405.15,405.15,405.15,0.00,0.00,0.00
2011-02-21,404.32,404.32,404.32,404.32,0.00,0.00,0.00
2011-02-22,401.20,401.20,401.20,401.20,0.00,0.00,0.00
2011-02-23,398.50,398.50,398.50,398.50,0.00,0.00,0.00
2011-02-24,397.46,397.46,397.46,397.46,0.00,0.00,0.00
2011-02-27,394.19,394.19,394.19,394.19,0.00,0.00,0.00
2011-02-28,391.66,391.66,391.66,391.66,0.00,0.00,0.00
2011-03-01,391.22,391.22,391.22,391.22,0.00,0.00,0.00
2011-03-03,395.43,395.43,395.43,395.43,0.00,0.00,0.00
2011-03-07,394.06,394.06,394.06,394.06,0.00,0.00,0.00
2011-03-09,392.71,392.71,392.71,392.71,0.00,0.00,0.00
2011-03-10,389.81,389.81,389.81,389.81,0.00,0.00,0.00
2011-03-13,388.25,388.25,388.25,388.25,0.00,0.00,0.00
2011-03-14,384.18,384.18,384.18,384.18,0.00,0.00,0.00
2011-03-15,376.75,376.75,376.75,376.75,0.00,0.00,0.00
2011-03-16,378.83,378.83,378.83,378.83,0.00,0.00,0.00
2011-03-17,377.51,377.51,377.51,377.51,0.00,0.00,0.00
2011-03-20,377.60,377.60,377.60,377.60,0.00,0.00,0.00
2011-03-21,379.46,379.46,379.46,379.46,0.00,0.00,0.00
2011-03-22,379.32,379.32,379.32,379.32,0.00,0.00,0.00
2011-03-23,377.63,377.63,377.63,377.63,0.00,0.00,0.00
2011-03-24,376.67,376.67,376.67,376.67,0.00,0.00,0.00
2011-03-27,372.00,372.00,372.00,372.00,-4.67,-1.24,0.00
2011-03-28,365.00,365.00,365.00,365.00,-7.31,-1.96,0.00
2011-03-29,358.00,358.00,358.00,358.00,-6.65,-1.82,0.00
2011-03-30,359.00,359.00,359.00,359.00,1.07,0.30,0.00
2011-03-31,365.00,365.00,365.00,365.00,6.14,1.71,0.00
2011-04-04,365.00,365.00,365.00,365.00,-0.27,-0.07,0.00
2011-04-05,364.00,364.00,364.00,364.00,-0.57,-0.16,0.00
2011-04-06,364.00,364.00,364.00,364.00,-0.02,-0.01,0.00
2011-04-07,365.00,365.00,365.00,365.00,1.04,0.28,0.00
2011-04-10,367.00,367.00,367.00,367.00,1.18,0.32,0.00
2011-04-11,365.00,365.00,365.00,365.00,-1.26,-0.34,0.00
2011-04-13,373.00,373.00,373.00,373.00,7.87,2.15,0.00
2011-04-17,368.00,368.00,368.00,368.00,-5.66,-1.52,0.00
2011-04-18,365.00,365.00,365.00,365.00,-2.08,-0.57,0.00
2011-04-19,364.00,364.00,364.00,364.00,-1.18,-0.32,0.00
2011-04-20,361.00,361.00,361.00,361.00,-3.18,-0.87,0.00
2011-04-21,358.00,358.00,358.00,358.00,-2.66,-0.73,0.00
2011-04-25,357.00,357.00,357.00,357.00,-1.58,-0.44,0.00
2011-04-26,356.00,356.00,356.00,356.00,-0.66,-0.19,0.00
2011-04-27,350.00,350.00,350.00,350.00,-6.06,-1.70,0.00
2011-04-28,348.00,348.00,348.00,348.00,-2.44,-0.70,0.00
2011-05-02,345.00,345.00,345.00,345.00,-3.14,-0.90,0.00
2011-05-03,340.00,340.00,340.00,340.00,-5.03,-1.46,0.00
2011-05-04,339.00,339.00,339.00,339.00,-0.70,-0.21,0.00
2011-05-05,340.00,340.00,340.00,340.00,0.67,0.20,0.00
2011-05-08,341.00,341.00,341.00,341.00,1.13,0.33,0.00
2011-05-09,341.00,341.00,341.00,341.00,0.18,0.05,0.00
2011-05-10,344.00,344.00,344.00,344.00,3.24,0.95,0.00
2011-05-11,345.00,345.00,345.00,345.00,0.58,0.17,0.00
2011-05-12,346.00,346.00,346.00,346.00,1.78,0.52,0.00
2011-05-15,349.00,349.00,349.00,349.00,2.78,0.80,0.00
2011-05-16,351.00,351.00,351.00,351.00,1.40,0.40,0.00
2011-05-18,347.00,347.00,347.00,347.00,-3.71,-1.06,0.00
2011-05-19,345.00,345.00,345.00,345.00,-2.07,-0.60,0.00
2011-05-22,344.00,344.00,344.00,344.00,-1.27,-0.37,0.00
2011-05-23,342.00,342.00,342.00,342.00,-1.48,-0.43,0.00
2011-05-24,342.00,342.00,342.00,342.00,-0.53,-0.15,0.00
2011-05-25,342.00,342.00,342.00,342.00,0.11,0.03,0.00
2011-05-26,345.00,345.00,345.00,345.00,2.84,0.83,0.00
2011-05-30,343.00,343.00,343.00,343.00,-1.74,-0.51,0.00
2011-05-31,337.00,337.00,337.00,337.00,-6.04,-1.76,0.00
2011-06-01,336.00,336.00,336.00,336.00,-1.03,-0.31,0.00
2011-06-02,334.00,334.00,334.00,334.00,-1.94,-0.58,0.00
2011-06-05,328.00,328.00,328.00,328.00,-5.95,-1.78,0.00
2011-06-06,323.00,323.00,323.00,323.00,-4.62,-1.41,0.00
2011-06-07,317.00,317.00,317.00,317.00,-5.70,-1.76,0.00
2011-06-08,311.00,311.00,311.00,311.00,-6.22,-1.96,0.00
2011-06-09,309.00,309.00,309.00,309.00,-2.38,-0.76,0.00
2011-06-12,304.00,304.00,304.00,304.00,-4.76,-1.54,0.00
2011-06-13,302.00,302.00,302.00,302.00,-2.40,-0.79,0.00
2011-06-14,298.00,298.00,298.00,298.00,-4.10,-1.36,0.00
2011-06-15,292.00,292.00,292.00,292.00,-5.31,-1.78,0.00
2011-06-16,304.00,304.00,304.00,304.00,11.21,3.84,0.00
2011-06-19,319.00,319.00,319.00,319.00,15.46,5.09,0.00
2011-06-20,331.00,331.00,331.00,331.00,11.78,3.69,0.00
2011-06-21,344.00,344.00,344.00,344.00,13.45,4.07,0.00
2011-06-23,364.00,364.00,364.00,364.00,20.18,5.86,0.00
2011-06-26,347.00,347.00,347.00,347.00,-17.62,-4.84,0.00
2011-06-27,330.00,330.00,330.00,330.00,-17.28,-4.98,0.00
2011-06-29,333.00,333.00,333.00,333.00,3.43,1.04,0.00
2011-06-30,337.00,337.00,337.00,337.00,3.76,1.13,0.00
2011-07-03,333.00,333.00,333.00,333.00,-3.45,-1.02,0.00
2011-07-04,334.00,334.00,334.00,334.00,0.70,0.21,0.00
2011-07-05,341.00,341.00,341.00,341.00,6.88,2.06,0.00
2011-07-06,345.00,345.00,345.00,345.00,4.02,1.18,0.00
2011-07-07,341.00,341.00,341.00,341.00,-3.51,-1.02,0.00
2011-07-10,346.00,346.00,346.00,346.00,5.05,1.48,0.00
2011-07-11,346.00,346.00,346.00,346.00,0.03,0.01,0.00
2011-07-12,352.00,352.00,352.00,352.00,6.18,1.79,0.00
2011-07-13,356.00,356.00,356.00,356.00,4.24,1.20,0.00
2011-07-14,363.00,363.00,363.00,363.00,6.06,1.70,0.00
2011-07-17,378.00,378.00,378.00,378.00,19.18,5.34,0.00
2011-07-18,370.00,370.00,370.00,370.00,-8.26,-2.18,0.00
2011-07-19,374.00,374.00,374.00,374.00,3.99,1.08,0.00
2011-07-20,380.00,380.00,380.00,380.00,6.09,1.63,0.00
2011-07-21,377.00,377.00,377.00,377.00,-3.65,-0.96,0.00
2011-07-24,365.00,365.00,365.00,365.00,-11.15,-2.96,0.00
2011-07-25,360.00,360.00,360.00,360.00,-5.28,-1.44,0.00
2011-07-26,357.00,357.00,357.00,357.00,-2.82,-0.78,0.00
2011-07-27,364.00,364.00,364.00,364.00,6.50,1.82,0.00
2011-07-28,361.00,361.00,361.00,361.00,-2.42,-0.67,0.00
2011-07-31,359.00,359.00,359.00,359.00,-4.33,-1.19,0.00
2011-08-01,358.00,358.00,358.00,358.00,-1.14,-0.32,0.00
2011-08-02,358.00,358.00,358.00,358.00,-0.06,-0.02,0.00
2011-08-03,356.00,356.00,356.00,356.00,-1.70,-0.48,0.00
2011-08-04,358.00,358.00,358.00,358.00,1.73,0.49,0.00
2011-08-07,354.00,354.00,354.00,354.00,-3.89,-1.09,0.00
2011-08-08,352.00,352.00,352.00,352.00,-1.57,-0.44,0.00
2011-08-09,346.00,346.00,346.00,346.00,-6.37,-1.81,0.00
2011-08-10,352.00,352.00,352.00,352.00,6.18,1.79,0.00
2011-08-11,353.00,353.00,353.00,353.00,0.66,0.19,0.00
2011-08-15,353.00,353.00,353.00,353.00,0.68,0.19,0.00
2011-08-16,354.00,354.00,354.00,354.00,0.26,0.07,0.00
2011-08-17,351.00,351.00,351.00,351.00,-2.70,-0.76,0.00
2011-08-18,353.00,353.00,353.00,353.00,1.53,0.44,0.00
2011-08-22,350.00,350.00,350.00,350.00,-2.70,-0.76,0.00
2011-08-23,350.00,350.00,350.00,350.00,-0.19,-0.05,0.00
2011-08-24,349.00,349.00,349.00,349.00,-0.58,-0.17,0.00
2011-08-25,347.00,347.00,347.00,347.00,-2.00,-0.57,0.00
2011-08-28,337.00,337.00,337.00,337.00,-9.77,-2.82,0.00
2011-08-29,338.00,338.00,338.00,338.00,0.84,0.25,0.00
2011-08-30,340.00,340.00,340.00,340.00,1.92,0.57,0.00
2011-09-01,342.00,342.00,342.00,342.00,1.82,0.53,0.00
2011-09-04,339.00,339.00,339.00,339.00,-2.53,-0.74,0.00
2011-09-05,336.00,336.00,336.00,336.00,-2.84,-0.84,0.00
2011-09-06,332.00,332.00,332.00,332.00,-4.41,-1.31,0.00
2011-09-07,331.00,331.00,331.00,331.00,-0.49,-0.15,0.00
2011-09-08,330.00,330.00,330.00,330.00,-1.69,-0.51,0.00
2011-09-12,327.00,327.00,327.00,327.00,-2.59,-0.79,0.00
2011-09-13,326.00,326.00,326.00,326.00,-1.26,-0.39,0.00
2011-09-14,319.00,319.00,319.00,319.00,-6.42,-1.97,0.00
2011-09-15,321.00,321.00,321.00,321.00,1.83,0.57,0.00
2011-09-18,319.00,319.00,319.00,319.00,-2.62,-0.82,0.00
