regime,method,MAE,MSE,MAPE,WMAPE,Spearman
high,stvv_historical,0.05810610417753786,0.006905280118778636,50.8670734315732,52.92206870046071,0.21529996066523371
low,stvv_historical,0.021663588057540303,0.0005614763309811505,717.1943545720425,447.11133583888125,0.553969007853945
medium,stvv_historical,0.018551123727541138,0.0007167679808906896,114.92909165173018,89.45074618711635,0.033439321516516074
