,AIC,BIC,LogLik
garch_11,8279.39652499164,8302.84189217404,-4135.69826249582
egarch_11,8280.072359115824,8303.517726298223,-4136.036179557912
gjr_garch_11,8266.79986977294,8296.10657875094,-4128.39993488647
