date_ad,index_value,absolute_change,percentage_change,calendar_gap_days,is_long_gap,log_return,log_return_pct,rv_30d_annualized_pct
2015-01-01,903.68,1.35,0.15,,False,,,
2015-01-04,917.5,13.82,1.53,3.0,False,0.015177264503957443,1.5177264503957444,
2015-01-05,919.77,2.27,0.25,1.0,False,0.0024710588591513277,0.24710588591513277,
2015-01-06,917.41,-2.36,-0.26,1.0,False,-0.002569156313601064,-0.25691563136010637,
2015-01-07,924.54,7.13,0.78,1.0,False,0.007741834047541387,0.7741834047541387,
2015-01-08,930.97,6.43,0.7,1.0,False,0.006930736820382689,0.6930736820382689,
2015-01-11,928.33,-2.64,-0.28,3.0,False,-0.0028397803196441706,-0.28397803196441707,
2015-01-12,927.8,-0.53,-0.06,1.0,False,-0.0005710807049121459,-0.05710807049121459,
2015-01-13,937.48,9.68,1.04,1.0,False,0.010379231966030592,1.037923196603059,
2015-01-14,939.53,2.05,0.22,1.0,False,0.002184325938693511,0.2184325938693511,
2015-01-18,945.36,5.83,0.62,4.0,False,0.0061860571083927835,0.6186057108392784,
2015-01-19,975.45,30.09,3.18,1.0,False,0.03133309565251041,3.133309565251041,
2015-01-20,962.8,-12.65,-1.3,1.0,False,-0.013053197074353777,-1.3053197074353777,
2015-01-22,959.24,-3.56,-0.37,2.0,False,-0.0037044016472440847,-0.3704401647244085,
2015-01-25,969.05,9.81,1.02,3.0,False,0.010174905885083775,1.0174905885083776,
2015-01-26,968.63,-0.42,-0.04,1.0,False,-0.0004335081195836986,-0.04335081195836986,
2015-01-27,975.14,6.51,0.67,1.0,False,0.0066983484062434935,0.6698348406243494,
2015-01-28,988.07,12.93,1.33,1.0,False,0.013172495007123558,1.317249500712356,
2015-01-29,986.66,-1.41,-0.14,1.0,False,-0.0014280435701274216,-0.14280435701274216,
2015-02-01,991.44,4.78,0.48,3.0,False,0.0048329298862063,0.48329298862062997,
2015-02-02,990.76,-0.68,-0.07,1.0,False,-0.0006861063733987145,-0.06861063733987145,
2015-02-03,987.55,-3.21,-0.32,1.0,False,-0.003245196978353476,-0.3245196978353476,
2015-02-04,987.03,-0.52,-0.05,1.0,False,-0.0005266942965298532,-0.052669429652985315,
2015-02-05,984.22,-2.81,-0.28,1.0,False,-0.0028509848099765775,-0.2850984809976578,
2015-02-08,986.02,1.8,0.18,3.0,False,0.001827189074217312,0.18271890742173122,
2015-02-09,980.7,-5.32,-0.54,1.0,False,-0.0054100359743029505,-0.541003597430295,
2015-02-10,980.54,-0.16,-0.02,1.0,False,-0.00016316208149437218,-0.016316208149437218,
2015-02-11,981.01,0.47,0.05,1.0,False,0.0004792128765460468,0.04792128765460468,
2015-02-12,984.51,3.5,0.36,1.0,False,0.0035614022745924243,0.35614022745924245,
2015-02-15,989.87,5.36,0.54,3.0,False,0.005429565907079517,0.5429565907079518,
2015-02-16,987.05,-2.82,-0.28,1.0,False,-0.002852924663321616,-0.2852924663321616,12.735651689566591
2015-02-18,982.65,-4.4,-0.45,2.0,False,-0.0044676928656817464,-0.44676928656817466,12.362834552061141
2015-02-22,971.47,-11.18,-1.14,4.0,False,-0.011442615587646641,-1.144261558764664,12.986740226991236
2015-02-23,973.95,2.48,0.26,1.0,False,0.0025495793642571884,0.25495793642571885,12.920881311193803
2015-02-24,970.77,-3.18,-0.33,1.0,False,-0.0032703965962250785,-0.32703965962250786,12.889312316173166
2015-02-25,970.62,-0.15,-0.02,1.0,False,-0.00015452845672272184,-0.015452845672272184,12.79920714831711
2015-02-26,979.27,8.65,0.89,1.0,False,0.008872353561439922,0.8872353561439922,12.91247911122263
2015-03-01,975.67,-3.6,-0.37,3.0,False,-0.003682981645784749,-0.3682981645784749,12.992977226827277
2015-03-02,984.85,9.18,0.94,1.0,False,0.00936493082639096,0.9364930826390959,12.937149986411168
2015-03-03,981.42,-3.43,-0.35,1.0,False,-0.0034888428132144244,-0.34888428132144245,13.020744259867051
2015-03-04,983.49,2.07,0.21,1.0,False,0.002106967510757625,0.2106967510757625,12.945378856619627
2015-03-09,988.77,5.28,0.54,5.0,True,0.005354276428093149,0.535427642809315,9.421160202458992
2015-03-10,984.43,-4.34,-0.44,1.0,False,-0.00439895296830779,-0.439895296830779,8.645051312568595
2015-03-11,984.06,-0.37,-0.04,1.0,False,-0.00037592266595953827,-0.03759226659595383,8.549635154085683
2015-03-12,978.44,-5.62,-0.57,1.0,False,-0.0057274041913928445,-0.5727404191392844,8.280780007669348
2015-03-15,970.68,-7.76,-0.79,3.0,False,-0.00796260979381828,-0.7962609793818279,8.620957797803253
2015-03-16,959.14,-11.54,-1.19,1.0,False,-0.011959807187795164,-1.1959807187795164,9.059338825694873
2015-03-17,963.46,4.32,0.45,1.0,False,0.004493922053800394,0.4493922053800394,8.227926649624552
2015-03-18,964.24,0.78,0.08,1.0,False,0.0008092545962213654,0.08092545962213654,8.239592500518944
2015-03-19,967.62,3.38,0.35,1.0,False,0.003499221940391087,0.3499221940391087,8.169607662071229
2015-03-22,964.12,-3.5,-0.36,3.0,False,-0.003623680029290422,-0.3623680029290422,8.209980472136893
2015-03-23,956.59,-7.53,-0.78,1.0,False,-0.007840890689785123,-0.7840890689785123,8.42877044010969
2015-03-24,953.84,-2.75,-0.29,1.0,False,-0.002878935003527115,-0.2878935003527115,8.443353426740876
2015-03-25,951.29,-2.55,-0.27,1.0,False,-0.0026769842717577195,-0.26769842717577197,8.440439827132852
2015-03-26,942.4,-8.89,-0.93,1.0,False,-0.009389145328796599,-0.9389145328796599,8.71984806616138
2015-03-29,942.3,-0.1,-0.01,3.0,False,-0.0001061176846117558,-0.01061176846117558,8.64882501759004
2015-03-30,939.1,-3.2,-0.34,1.0,False,-0.003401725402142606,-0.34017254021426063,8.661734395010495
2015-03-31,945.74,6.64,0.71,1.0,False,0.007045720027848474,0.7045720027848473,8.990949180268117
2015-04-01,939.54,-6.2,-0.66,1.0,False,-0.006577296053010016,-0.6577296053010017,9.002550483381796
2015-04-02,940.09,0.55,0.06,1.0,False,0.0005852215762647145,0.05852215762647145,8.782590121331136
2015-04-05,934.25,-5.84,-0.62,3.0,False,-0.006231546996078012,-0.6231546996078012,8.874571982008323
2015-04-06,938.12,3.87,0.41,1.0,False,0.004133804227783206,0.4133804227783206,9.001867182842222
2015-04-07,935.53,-2.59,-0.28,1.0,False,-0.0027646589807991625,-0.27646589807991623,8.5107802974482
2015-04-08,942.15,6.62,0.71,1.0,False,0.007051283955922055,0.7051283955922055,8.781427616678366
2015-04-09,946.89,4.74,0.5,1.0,False,0.005018432587916292,0.5018432587916292,8.93126558418013
2015-04-12,952.03,5.14,0.54,3.0,False,0.005413616743479721,0.5413616743479721,9.111845737201484
2015-04-13,948.36,-3.67,-0.39,1.0,False,-0.0038623698950113676,-0.3862369895011368,8.693978037729828
2015-04-15,944.13,-4.23,-0.45,2.0,False,-0.004470308476385129,-0.4470308476385129,8.717510305236221
2015-04-16,949.92,5.79,0.61,1.0,False,0.00611390199386613,0.611390199386613,8.424527961707978
2015-04-19,945.7,-4.22,-0.44,3.0,False,-0.0044523765008987045,-0.44523765008987043,8.451823074707242
2015-04-20,944.98,-0.72,-0.08,1.0,False,-0.000761630772848857,-0.0761630772848857,8.393926779444817
2015-04-21,945.12,0.14,0.01,1.0,False,0.00014814031030737179,0.014814031030737179,8.166121607397207
2015-04-22,942.02,-3.1,-0.33,1.0,False,-0.003285397785440188,-0.3285397785440188,8.138159496131946
2015-04-23,938.19,-3.83,-0.41,1.0,False,-0.00407401864409616,-0.40740186440961595,8.165574950398014
2015-05-24,909.82,-28.37,-3.02,31.0,True,-0.030705709381729986,-3.0705709381729984,11.706462676045945
2015-05-25,880.53,-29.29,-3.22,1.0,False,-0.032722778841564465,-3.2722778841564466,14.573033613034461
2015-05-26,859.97,-20.56,-2.33,1.0,False,-0.02362649398792215,-2.362649398792215,15.539254528784458
2015-05-27,837.83,-22.14,-2.57,1.0,False,-0.026082288977579624,-2.608228897757962,16.636946929688705
2015-05-28,841.96,4.13,0.49,1.0,False,0.004917291235049229,0.4917291235049229,16.796081242449485
2015-05-31,871.94,29.98,3.56,3.0,False,0.034988107026554825,3.4988107026554824,20.23080683065267
2015-06-01,890.43,18.49,2.12,1.0,False,0.020983877913923314,2.0983877913923314,21.43585030904276
2015-06-02,901.98,11.55,1.3,1.0,False,0.012887854751678118,1.2887854751678118,21.837810693971196
2015-06-04,926.84,1.35,0.15,2.0,False,0.027188604016750037,2.7188604016750038,23.40995065290027
2015-06-07,931.17,4.33,0.47,3.0,False,0.004660909078817524,0.4660909078817524,23.459656889980945
2015-06-08,945.49,14.32,1.54,1.0,False,0.015261451664620415,1.5261451664620416,23.753461106003027
2015-06-09,966.59,21.1,2.23,1.0,False,0.0220711021884103,2.20711021884103,24.590872106676585
2015-06-10,955.66,-10.93,-1.13,1.0,False,-0.011372212558499337,-1.1372212558499337,24.81803135085573
2015-06-11,937.96,-17.7,-1.85,1.0,False,-0.018694897084191288,-1.8694897084191289,25.351107327607053
2015-06-14,928.35,-9.61,-1.02,3.0,False,-0.010298487320225641,-1.0298487320225642,25.454221525068355
2015-06-15,933.73,5.38,0.58,1.0,False,0.005778500354785688,0.5778500354785687,25.516103719055362
2015-06-16,930.7,-3.03,-0.32,1.0,False,-0.0032503260166011237,-0.3250326016601124,25.46972103203002
2015-06-17,927.85,-2.85,-0.31,1.0,False,-0.0030669094013169975,-0.30669094013169973,25.450542583085078
2015-06-18,924.6,-3.25,-0.35,1.0,False,-0.003508870236222822,-0.3508870236222822,25.45754821319633
2015-06-21,917.97,-6.63,-0.72,3.0,False,-0.007196501206191027,-0.7196501206191027,25.430465128259417
2015-06-22,922.47,4.5,0.49,1.0,False,0.004890144712747621,0.4890144712747621,25.427912374760524
2015-06-23,926.09,3.62,0.39,1.0,False,0.003916567087261371,0.3916567087261371,25.39944663843349
2015-06-24,928.13,2.04,0.22,1.0,False,0.002200387033997495,0.2200387033997495,25.399214330471697
2015-06-25,930.38,2.25,0.24,1.0,False,0.002421295660772421,0.24212956607724212,25.389295094431596
2015-06-28,938.0,7.62,0.82,3.0,False,0.00815684416351154,0.815684416351154,25.44231226448345
2015-06-29,946.33,8.33,0.89,1.0,False,0.008841396425402749,0.8841396425402749,25.550772584429826
2015-06-30,949.13,2.8,0.3,1.0,False,0.002954430097903698,0.2954430097903698,25.563562500455024
2015-07-01,945.78,-3.35,-0.35,1.0,False,-0.003535791663025097,-0.3535791663025097,25.585824085710808
2015-07-02,938.96,-6.82,-0.72,1.0,False,-0.007237104074637529,-0.7237104074637529,25.655768567274233
2015-07-05,938.02,-0.94,-0.1,3.0,False,-0.0010016090513331685,-0.10016090513331685,25.629942032261066
2015-07-06,936.76,-1.26,-0.13,1.0,False,-0.0013441579168860344,-0.13441579168860346,23.930211835397827
2015-07-07,941.36,4.6,0.49,1.0,False,0.004898525332024284,0.4898525332024284,21.707918011962292
2015-07-08,943.16,1.8,0.19,1.0,False,0.0019103013471733097,0.19103013471733096,20.279862070000508
2015-07-09,943.43,0.27,0.03,1.0,False,0.0002862307145095988,0.02862307145095988,18.331564479113876
2015-07-12,944.96,1.53,0.16,3.0,False,0.0016204283382014538,0.16204283382014537,18.341455767617802
2015-07-13,944.0,-0.96,-0.1,1.0,False,-0.001016432410057146,-0.1016432410057146,15.825294948016483
2015-07-14,946.46,2.46,0.26,1.0,False,0.0026025426494203398,0.26025426494203396,14.840579464710135
2015-07-15,950.72,4.26,0.45,1.0,False,0.004490883479321665,0.4490883479321665,14.502632619898623
2015-07-16,961.23,10.51,1.11,1.0,False,0.010994122087285384,1.0994122087285385,12.679572431563638
2015-07-22,963.27,2.04,0.21,6.0,True,0.0021200319709752872,0.2120031970975287,12.640883818279589
2015-07-23,1003.38,40.11,4.16,1.0,False,0.040795833288582876,4.079583328858288,16.651506509357112
2015-07-26,1053.95,50.57,5.04,3.0,False,0.04917071002481718,4.917071002481718,20.82260226243551
2015-07-27,1046.4,-7.55,-0.72,1.0,False,-0.007189308942969405,-0.7189308942969405,20.60792688502322
2015-07-28,1028.14,-18.26,-1.75,1.0,False,-0.017604357189972157,-1.7604357189972157,20.51024804234399
2015-07-29,1021.33,-6.81,-0.66,1.0,False,-0.006645645033487658,-0.6645645033487658,20.330042712824135
2015-07-30,1027.98,6.65,0.65,1.0,False,0.006490012093461737,0.6490012093461738,20.338983906303877
2015-08-03,1030.4,-3.74,-0.36,4.0,False,0.0023513647771530783,0.23513647771530782,20.249078158776005
2015-08-04,1029.92,-0.48,-0.05,1.0,False,-0.0004659470457834744,-0.04659470457834744,20.19093186227098
2015-08-06,1040.36,6.34,0.61,2.0,False,0.010085677779845722,1.0085677779845723,20.16651660540785
2015-08-09,1063.41,23.05,2.22,3.0,False,0.021913918741006077,2.1913918741006078,20.53217061465365
2015-08-10,1081.36,17.95,1.69,1.0,False,0.01673878235041473,1.673878235041473,20.816762964328706
2015-08-11,1077.78,-3.58,-0.33,1.0,False,-0.0033161381667728964,-0.3316138166772896,20.96347878773143
2015-08-12,1077.19,-0.59,-0.05,1.0,False,-0.0005475714415901617,-0.054757144159016176,21.011083693485453
2015-08-13,1088.42,11.23,1.04,1.0,False,0.010371304770259972,1.0371304770259973,21.053755676926865
2015-08-16,1112.05,23.63,2.17,3.0,False,0.02147805549098392,2.147805549098392,21.56255287106865
2015-08-17,1157.6,45.55,4.1,1.0,False,0.04014373748882103,4.014373748882103,23.75884536840316
2015-08-18,1159.93,2.33,0.2,1.0,False,0.002010762134727704,0.20107621347277038,23.773401611383633
2015-08-19,1191.92,31.99,2.76,1.0,False,0.02720579382708191,2.7205793827081908,24.288858032910248
2015-08-20,1200.92,9.0,0.76,1.0,False,0.007522477424909357,0.7522477424909357,23.872697547633322
2015-08-23,1184.67,-16.25,-1.35,3.0,False,-0.01362367493045729,-1.362367493045729,24.56579589468017
2015-08-24,1181.75,-2.92,-0.25,1.0,False,-0.0024678641001900817,-0.24678641001900817,24.60419860082382
2015-08-25,1181.41,-0.34,-0.03,1.0,False,-0.00028775030243052976,-0.028775030243052977,24.702041393959963
2015-08-26,1175.57,-5.84,-0.49,1.0,False,-0.00495550403573936,-0.495550403573936,24.91797326347055
2015-08-27,1183.76,8.19,0.7,1.0,False,0.006942676859103035,0.6942676859103035,24.82870069444478
2015-08-31,1200.15,16.39,1.38,4.0,False,0.013750735769963954,1.3750735769963953,24.82526646070646
2015-09-01,1191.34,-8.81,-0.73,1.0,False,-0.007367824957735625,-0.7367824957735626,25.091839473493177
2015-09-02,1176.26,-15.08,-1.27,1.0,False,-0.012738810549007246,-1.2738810549007247,25.75098324789531
2015-09-03,1169.4,-6.86,-0.58,1.0,False,-0.005849116715929731,-0.5849116715929731,26.020073805010075
2015-09-06,1166.69,-2.71,-0.23,3.0,False,-0.002320117132172112,-0.23201171321721117,26.124000336422814
