date_ad,garch_11_daily_pct,garch_11_annualized_pct,egarch_11_daily_pct,egarch_11_annualized_pct,gjr_garch_11_daily_pct,gjr_garch_11_annualized_pct
2015-01-04,0.9165688708643006,14.55007975062129,0.9106792035484278,14.456584180485061,0.9160958270206548,14.542570412404189
2015-01-05,1.073246761565023,17.037264159038916,1.096886689269276,17.41253637734091,1.029692245902187,16.345857657532527
2015-01-06,0.9962482460791788,15.814950619258719,1.0012784612207524,15.89480280909325,0.9623164686188601,15.276300351044377
2015-01-07,0.9389715678498196,14.905711540146207,0.9352629776902759,14.846839496485323,0.91398974371304,14.50913737637019
2015-01-08,0.9372282905518666,14.878037870966558,0.9649457500117818,15.31803889919926,0.90793325097725,14.412993534793172
2015-01-11,0.9247408754028079,14.679806300951979,0.9734893538778546,15.45366440597853,0.8943477044853755,14.197329670138735
2015-01-12,0.8835232187467612,14.025496286131505,0.9174634553375793,14.564280838879501,0.8614993446036279,13.675878122798004
2015-01-13,0.8398914698936198,13.332863745738065,0.833748802326965,13.2353519211306,0.8228127684242995,13.061747764915655
2015-01-14,0.9105629885699261,14.454739324894645,0.9365720055871132,14.867619670130987,0.8761126563596556,13.90785725522304
2015-01-18,0.8634373940076805,13.706643703308085,0.8670926543386378,13.764669162185562,0.8364491697129379,13.278218924441363
2015-01-19,0.8587020614529677,13.631472629418337,0.8814787117000301,13.993040742935287,0.8312776699294732,13.19612391044773
2015-01-20,1.5649890577880343,24.843431108666582,1.5009778087123038,23.827284031676605,1.410101558073033,22.384668276035693
2015-01-22,1.5208291055373262,24.14241359928342,1.511910388248886,24.000833351529987,1.427954736921621,22.66807870410763
2015-01-25,1.378220901756436,21.878578546552276,1.3583902074311813,21.563776033490097,1.306898059520513,20.746363526425004
2015-01-26,1.3145990123965483,20.868612363434302,1.3405849980845423,21.2811270976542,1.2464399884096051,19.786621400988277
2015-01-27,1.193431781267348,18.945142199725417,1.1711455911865392,18.591359899975807,1.140033025056485,18.09746322420076
2015-01-28,1.1243107640730667,17.84788006854209,1.132688053738403,17.980865419233474,1.0773388978074259,17.102224808009268
2015-01-29,1.1709567128024565,18.588361548581897,1.223198160687884,19.41766882399059,1.1086031046663045,17.598528705726906
