date_ad,index_value,absolute_change,percentage_change,calendar_gap_days,is_long_gap,log_return,log_return_pct,rv_30d_annualized_pct,garch_11_daily_pct,garch_11_annualized_pct,egarch_11_daily_pct,egarch_11_annualized_pct,gjr_garch_11_daily_pct,gjr_garch_11_annualized_pct,hv_10d_daily_pct,hv_10d_annualized_pct,hv_30d_daily_pct,hv_30d_annualized_pct,hv_60d_daily_pct,hv_60d_annualized_pct,benchmark_vov_30d,stvv_historical,emvv_adapted,mivv_adapted_garch,mivv_adapted_egarch
2015-01-01,903.68,1.35,0.15,,False,,,,,,,,,,,,,,,,,,,,
2015-01-04,917.5,13.82,1.53,3.0,False,0.0151772645039574,1.5177264503957444,,0.9165688708643006,14.55007975062129,0.9106792035484278,14.45658418048506,0.9160958270206548,14.542570412404189,,,,,,,,,,,
2015-01-05,919.77,2.27,0.25,1.0,False,0.0024710588591513,0.2471058859151327,,1.073246761565023,17.037264159038916,1.096886689269276,17.41253637734091,1.029692245902187,16.345857657532527,,,,,,,,,,,
2015-01-06,917.41,-2.36,-0.26,1.0,False,-0.002569156313601,-0.2569156313601063,,0.9962482460791788,15.81495061925872,1.0012784612207524,15.89480280909325,0.96231646861886,15.276300351044377,,,,,,,,,,,
2015-01-07,924.54,7.13,0.78,1.0,False,0.0077418340475413,0.7741834047541387,,0.9389715678498196,14.905711540146209,0.935262977690276,14.846839496485323,0.91398974371304,14.50913737637019,,,,,,,,,,,
2015-01-08,930.97,6.43,0.7,1.0,False,0.0069307368203826,0.6930736820382689,,0.9372282905518666,14.878037870966558,0.9649457500117818,15.31803889919926,0.90793325097725,14.412993534793172,,,,,,,,,,,
2015-01-11,928.33,-2.64,-0.28,3.0,False,-0.0028397803196441,-0.283978031964417,,0.924740875402808,14.67980630095198,0.9734893538778546,15.45366440597853,0.8943477044853755,14.197329670138735,,,,,,,,,,,
2015-01-12,927.8,-0.53,-0.06,1.0,False,-0.0005710807049121,-0.0571080704912145,,0.8835232187467612,14.025496286131505,0.9174634553375792,14.5642808388795,0.8614993446036279,13.675878122798004,,,,,,,,,,,
2015-01-13,937.48,9.68,1.04,1.0,False,0.0103792319660305,1.037923196603059,,0.8398914698936198,13.332863745738065,0.833748802326965,13.2353519211306,0.8228127684242995,13.061747764915657,,,,,,,,,,,
2015-01-14,939.53,2.05,0.22,1.0,False,0.0021843259386935,0.2184325938693511,,0.910562988569926,14.454739324894645,0.9365720055871132,14.867619670130988,0.8761126563596556,13.90785725522304,,,,,,,,,,,
2015-01-18,945.36,5.83,0.62,4.0,False,0.0061860571083927,0.6186057108392784,,0.8634373940076805,13.706643703308083,0.8670926543386378,13.764669162185562,0.8364491697129379,13.278218924441363,0.5839229773481445,9.269489897277555,,,,,,,,,
2015-01-19,975.45,30.09,3.18,1.0,False,0.0313330956525104,3.133309565251041,,0.8587020614529677,13.631472629418337,0.8814787117000301,13.993040742935287,0.8312776699294732,13.19612391044773,0.9924643860031531,15.754883702716539,,,,,,,,,
2015-01-20,962.8,-12.65,-1.3,1.0,False,-0.0130531970743537,-1.3053197074353775,,1.5649890577880343,24.843431108666586,1.5009778087123038,23.827284031676605,1.410101558073033,22.384668276035693,1.1627683873224282,18.458375911336645,,,,,,,,,
2015-01-22,959.24,-3.56,-0.37,2.0,False,-0.003704401647244,-0.3704401647244085,,1.5208291055373262,24.14241359928342,1.511910388248886,24.000833351529987,1.427954736921621,22.66807870410763,1.1710401796755676,18.589686544115683,,,,,,,,,
2015-01-25,969.05,9.81,1.02,3.0,False,0.0101749058850837,1.0174905885083776,,1.378220901756436,21.878578546552276,1.358390207431181,21.563776033490097,1.306898059520513,20.746363526425004,1.1811038789500725,18.74944281741377,,,,,,,,,
2015-01-26,968.63,-0.42,-0.04,1.0,False,-0.0004335081195836,-0.0433508119583698,,1.3145990123965483,20.868612363434305,1.3405849980845423,21.2811270976542,1.2464399884096051,19.786621400988277,1.1885979342568167,18.86840725733182,,,,,,,,,
2015-01-27,975.14,6.51,0.67,1.0,False,0.0066983484062434,0.6698348406243494,,1.193431781267348,18.945142199725417,1.1711455911865392,18.591359899975807,1.140033025056485,18.09746322420076,1.1659742407879206,18.50926725739309,,,,,,,,,
2015-01-28,988.07,12.93,1.33,1.0,False,0.0131724950071235,1.317249500712356,,1.1243107640730667,17.84788006854209,1.132688053738403,17.980865419233474,1.077338897807426,17.102224808009268,1.175030288256131,18.653027554165575,,,,,,,,,
2015-01-29,986.66,-1.41,-0.14,1.0,False,-0.0014280435701274,-0.1428043570127421,,1.1709567128024565,18.588361548581897,1.223198160687884,19.41766882399059,1.1086031046663043,17.598528705726906,1.1886593620685524,18.869382393612437,,,,,,,,,
2015-02-01,991.44,4.78,0.48,3.0,False,0.0048329298862063,0.4832929886206299,,1.0763386705387443,17.08634669236441,1.0940279131653066,17.367154713590207,1.0276275828050423,16.313082146955466,1.1843515465598233,18.80099794243217,,,,,,,,,
2015-02-02,990.76,-0.68,-0.07,1.0,False,-0.0006861063733987,-0.0686106373398714,,1.012666882404172,16.07558839075518,1.039021145842112,16.493949353013605,0.9720849426864936,15.43137006947363,1.1989883151306127,19.033349440247658,,,,,,,,,
2015-02-03,987.55,-3.21,-0.32,1.0,False,-0.0032451969783534,-0.3245196978353476,,0.9443559393985316,14.99118578865179,0.934317029359258,14.831823032263385,0.9128184094155168,14.490543020849987,0.7655119793479719,12.15212593797328,,,,,,,,,
2015-02-04,987.03,-0.52,-0.05,1.0,False,-0.0005266942965298,-0.0526694296529853,,0.9021084532347236,14.32052773720932,0.8928123703945554,14.17295699703648,0.8797797422933952,13.966070439724907,0.5875768954979144,9.327494049689214,,,,,,,,,
2015-02-05,984.22,-2.81,-0.28,1.0,False,-0.0028509848099765,-0.2850984809976578,,0.8546578900651761,13.56727339890982,0.8128709856811502,12.903926856553616,0.837431915575624,13.293819531369234,0.5781314243100124,9.177551843015127,,,,,,,,,
2015-02-08,986.02,1.8,0.18,3.0,False,0.0018271890742173,0.1827189074217312,,0.8282984550973603,13.148830341159696,0.7871367674346369,12.495408806564006,0.8164836368217735,12.961275915503954,0.5126994840430695,8.138851992534542,,,,,,,,,
2015-02-09,980.7,-5.32,-0.54,1.0,False,-0.0054100359743029,-0.541003597430295,,0.7968056083218057,12.648896897286216,0.7387115088123101,11.726681657632028,0.7876792522720311,12.504020486382617,0.5582289382761088,8.861609671909255,,,,,,,,,
2015-02-10,980.54,-0.16,-0.02,1.0,False,-0.0001631620814943,-0.0163162081494372,,0.8110140082884691,12.874448254325795,0.7735243848183216,12.279318931641033,0.8101467162554289,12.860680420124844,0.5248309390303677,8.331432870161134,,,,,,,,,
2015-02-11,981.01,0.47,0.05,1.0,False,0.000479212876546,0.0479212876546046,,0.7815572909735181,12.406837363591652,0.7086241448139845,11.249059561161744,0.7809148268047278,12.396638561090318,0.28387260995769725,4.506337979825428,,,,,,,,,
2015-02-12,984.51,3.5,0.36,1.0,False,0.0035614022745924,0.3561402274592424,,0.7579070267447457,12.03140105804986,0.6507537939139852,10.330396220569098,0.7573816162250361,12.023060424621647,0.31240264129713624,4.9592381867516355,,,,,,,,,
2015-02-15,989.87,5.36,0.54,3.0,False,0.0054295659070795,0.5429565907079518,,0.7512891608187416,11.92634569334881,0.6564614499444686,10.42100245112364,0.7487338476436748,11.88578135425013,0.3234940362853086,5.135308623740589,,,,,,,,,
2015-02-16,987.05,-2.82,-0.28,1.0,False,-0.0028529246633216,-0.2852924663321616,12.735651689566591,0.7647502720784911,12.140034209932022,0.6963485644383003,11.054190763923472,0.7566745070471057,12.011835414414197,0.33449079071456506,5.309876688432553,0.8022706465460143,12.735651689566525,,,,3.3107810343992305,,,
